ticker,short_name,currency,exchange,quote_type,sector,industry,market_cap,enterprise_value,trailing_pe,forward_pe,price_to_book,profit_margins,revenue_growth,earnings_growth,last_close_5d,fifty_two_week_high,fifty_two_week_low,cik,sec_edgar_url,sec_company_search_url,data_source
AMD,"Advanced Micro Devices, Inc.",USD,NMS,EQUITY,Technology,Semiconductors,742233079808.0,733938909184.0,152.74832,35.280003,11.777231,0.13374,0.378,0.912,455.190002,456.25,101.6,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=AMD,yfinance (indicative)
AVGO,Broadcom Inc.,USD,NMS,EQUITY,Technology,Semiconductors,2035907428352.0,2087790313472.0,83.984375,23.733368,25.496592,0.36572,0.295,0.316,430.0,437.68,206.52,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=AVGO,yfinance (indicative)
MRVL,"Marvell Technology, Inc.",USD,NMS,EQUITY,Technology,Semiconductors,148771586048.0,150896164864.0,55.416943,31.303072,10.074615,0.32584,0.221,1.063,170.130005,175.8,58.61,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=MRVL,yfinance (indicative)
ARM,Arm Holdings plc,USD,NMS,EQUITY,Technology,Semiconductors,226918989824.0,223323734016.0,250.90588,71.018745,29.04399,0.17148,0.201,0.457,213.270004,239.5,100.02,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=ARM,yfinance (indicative)
ALAB,"Astera Labs, Inc.",USD,NMS,EQUITY,Technology,Semiconductors,34245591040.0,33102968832.0,134.08725,47.836704,24.933233,0.26724,0.934,1.444,199.789993,262.9,69.26,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=ALAB,yfinance (indicative)
VRT,"Vertiv Holdings, LLC",USD,NYQ,EQUITY,Industrials,Electrical Equipment & Parts,130585468928.0,131349872640.0,85.4196,39.45643,32.997185,0.14372,0.301,1.357,339.970001,359.84,92.13,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=VRT,yfinance (indicative)
SMCI,"Super Micro Computer, Inc.",USD,NMS,EQUITY,Technology,Computer Hardware,21239044096.0,29124550656.0,18.61579,10.952363,3.02981,0.03701,1.227,3.26,35.369999,62.36,19.48,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=SMCI,yfinance (indicative)
DELL,Dell Technologies Inc.,USD,NYQ,EQUITY,Technology,Computer Hardware,169348153344.0,188918644736.0,30.00691,17.672981,-68.75924,0.05228,0.395,0.573,260.459991,263.99,95.64,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=DELL,yfinance (indicative)
GOOGL,Alphabet Inc.,USD,NMS,EQUITY,Communication Services,Internet Content & Information,4855869472768.0,4824074551296.0,30.618792,27.709045,11.667103,0.37919,0.218,0.82,400.799988,402.0,152.2,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=GOOGL,yfinance (indicative)
META,"Meta Platforms, Inc.",USD,NMS,EQUITY,Communication Services,Internet Content & Information,1547498946560.0,1553087987712.0,22.160305,16.847143,7.099701,0.32837,0.331,0.624,609.630005,796.25,520.26,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=META,yfinance (indicative)
TSM,Taiwan Semiconductor Manufactur,USD,NYQ,EQUITY,Technology,Semiconductors,2135137189888.0,8349997858816.0,35.367695,21.339216,91.32316,0.46505,0.351,0.584,411.679993,420.0,176.47,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=TSM,yfinance (indicative)
KLAC,KLA Corporation,USD,NMS,EQUITY,Technology,Semiconductor Equipment & Materials,244167639040.0,245355085824.0,52.996593,37.680027,44.84836,0.35662,0.115,0.118,1869.189941,1939.36,696.73,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=KLAC,yfinance (indicative)
AMAT,"Applied Materials, Inc.",USD,NMS,EQUITY,Technology,Semiconductor Equipment & Materials,345569492992.0,324566941696.0,44.660515,30.946072,15.912297,0.27784,-0.021,0.752,435.440002,438.0,153.47,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=AMAT,yfinance (indicative)
LRCX,Lam Research Corporation,USD,NMS,EQUITY,Technology,Semiconductor Equipment & Materials,367730393088.0,366713929728.0,55.48113,37.16065,34.741257,0.30939,0.238,0.408,294.049988,298.0,74.65,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=LRCX,yfinance (indicative)
AMBA,"Ambarella, Inc.",USD,NMS,EQUITY,Technology,Semiconductor Equipment & Materials,3341091584.0,3041955584.0,,70.24425,5.555152,-0.19418,0.201,,76.300003,96.69,48.3,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=AMBA,yfinance (indicative)
EQIX,"Equinix, Inc.",USD,NMS,EQUITY,Real Estate,REIT - Specialty,105733079040.0,127729082368.0,73.88559,56.94765,7.439007,0.14928,0.121,0.2,1072.079956,1128.68,710.52,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=EQIX,yfinance (indicative)
ONTO,Onto Innovation Inc.,USD,NYQ,EQUITY,Technology,Semiconductor Equipment & Materials,14160501760.0,13506336768.0,133.02336,29.969774,6.735361,0.10325,0.095,-0.485,284.670013,316.0,85.88,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=ONTO,yfinance (indicative)
CEVA,"CEVA, Inc.",USD,NMS,EQUITY,Technology,Semiconductors,1029960896.0,820218432.0,,45.74646,3.022895,-0.09706,0.071,,36.970001,37.07,17.02,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=CEVA,yfinance (indicative)
NVO,Novo Nordisk A/S,USD,NYQ,EQUITY,Healthcare,Drug Manufacturers - General,204221448192.0,329423978496.0,10.713953,13.580939,6.743266,0.37205,0.24,0.671,46.07,81.44,35.12,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=NVO,yfinance (indicative)
VKTX,"Viking Therapeutics, Inc.",USD,NCM,EQUITY,Healthcare,Biotechnology,3637589760.0,3034625792.0,,-6.90082,5.627807,0.0,,,31.33,43.15,22.959,,,https://www.sec.gov/edgar/searchedgar/companysearch.html?q=VKTX,yfinance (indicative)
